table,field,filemaker_type,description,null_pct,example
PORT_CALL,port_call_id,TEXT,Primary key: '<imo|NONAME:name>-<YYYYMMDDHHMM of first event>'.,0.0,1012919-202501270659
PORT_CALL,vessel_key,NUMBER,"Internal MRTIS join key. WARNING -- NOT a stable identity: it is assigned by row position at build time, so it changes on every MRTIS rebuild. Do NOT key a FileMaker file on it; use imo, or port_call_id/leg_id, which are content-derived and stable. (MRTIS OPEN_QUESTIONS.md section 10 tracks making these stable; approved, not yet built.)",0.0,2
PORT_CALL,imo,TEXT,Canonical 7-digit IMO number.,0.5,1012919
PORT_CALL,vessel_name,TEXT,Vessel's current/canonical name.,0.0,Dreamboat
PORT_CALL,call_name,TEXT,Name actually carried on this call's source events (may differ from vessel_name if renamed since).,0.0,Dreamboat
PORT_CALL,vessel_type,TEXT,"Canonical vessel type (Bulk/Container/Gas/Other/Passenger/Reefer/Tanker), from the Zone Report's own Type field.",0.8,Other
PORT_CALL,ship_type,TEXT,"Ships register's raw, fine-grained type (e.g. 'Container Ship (Fully Cellular)'). Drives the R1-R4 fee tiers.",0.6,Yacht
PORT_CALL,ship_type_group,TEXT,Ships register's size-bucketed group within a type family (e.g. 'Bulk Carrier-Handymax').,0.6,Yacht
PORT_CALL,dwt,NUMBER,"Deadweight tonnage, from the ships register.",0.6,723.0
PORT_CALL,tpc,NUMBER,"Tonnes per centimetre immersion, from the ships register. CAUTION: 0 appears on 15.8% of the calls in this export and is stored as a literal zero, not a blank -- it is a placeholder for 'not available' in the upstream register, not a measured value. Filter tpc > 0 before any draft-survey calculation. (MRTIS OPEN_QUESTIONS.md section 11.3; the fix belongs upstream in Ships_Register and is deferred.)",0.6,0.0
PORT_CALL,call_start,TIMESTAMP,"Timestamp of the call's first event (the SWP entry, when the call is complete).",0.0,2025-01-27 06:59:00
PORT_CALL,call_end,TIMESTAMP,"Timestamp of the call's last event (the SWP exit, when complete).",0.0,2025-02-12 18:16:00
PORT_CALL,call_hours,NUMBER,"call_end minus call_start, in hours.",0.0,395.28
PORT_CALL,call_status,TEXT,'complete' (both SWP ends present) / 'open_start' / 'open_end' / 'fragment'. Only 'complete' calls have reliable duration figures.,0.0,complete
PORT_CALL,is_complete,NUMBER,"1 if call_status = 'complete', else 0.",0.0,1.0
PORT_CALL,leg_count,NUMBER,"Number of legs in this call. 1 = single call, 2+ = split call.",0.0,1
PORT_CALL,is_split,NUMBER,1 if leg_count > 1.,0.0,0.0
PORT_CALL,is_commercial_call,NUMBER,"FILTER ON THIS BY DEFAULT for any count or fee report. 0 marks a non-commercial call -- every berth visit was layberth (lay-up/repair), so it does not count as a port call and accrues no fee. The row, its events and its timestamps are all kept so the elapsed time is never lost. A call that never reached a berth at all is a different category and stays 1. See docs/BUSINESS_RULES.md section 5.",0.0,1.0
PORT_CALL,call_class,TEXT,Names why: 'commercial' or 'layup'. Today layup is the only non-commercial class; it is built as a general classification so other non-commercial cases can join it later.,0.0,commercial
PORT_CALL,berth_stop_count,NUMBER,"Count of real, non-artifact, NON-LAYBERTH berth stops across the whole call -- i.e. actual cargo work. A pure lay-up call reads 0 here, same as a call that never berthed; tell those apart by layberth_hours > 0, not by this column.",0.0,0
PORT_CALL,layberth_hours,NUMBER,"Hours alongside a layberth (lay-up/repair wharf) across the whole call -- real elapsed time, excluded from berth_hours and from every count and fee. Summed from this call's legs.",0.0,0.0
PORT_CALL,anchorage_stop_count,NUMBER,Count of anchorage stops across the whole call.,0.0,0
PORT_CALL,event_count,NUMBER,Total raw events (port_call_event rows) belonging to this call.,0.0,2
PORT_CALL,entry_draft_ft,NUMBER,Draft in feet at the SWP entry crossing. NULL if no Enter event was recorded.,0.2,14
PORT_CALL,exit_draft_ft,NUMBER,Draft in feet at the SWP exit crossing. NULL if no Exit event was recorded.,0.7,14
PORT_CALL,agency,TEXT,Canonical agency for the call -- the inbound agency (the one that brought the vessel in).,1.6,HOST
PORT_CALL,agency_fee_total,NUMBER,BILLABLE FIGURE. Sum of this call's legs' agency_fee (one fee per leg that reached a berth). See docs/BUSINESS_RULES.md section 9.,6.5,10500.0
PORT_CALL,agency_fee_departures_total,NUMBER,Comparison-only figure: what this call would total under the old per-departure-charges-every-sailing basis. Not the billing figure.,7.8,10500.0
PORT_CALL,fgis_record_count,NUMBER,Count of FGIS grain certificates tied to this call.,0.0,0
PORT_CALL,estimated_tons,NUMBER,"FGIS certified metric tons, summed across the call's legs. An ESTIMATE per William's original mapping, not a certified actual weight.",72.4,58121.0
PORT_CALL,actual_tons,NUMBER,Reserved for a genuinely certified/actual tonnage. NULL everywhere today -- no source wired in yet.,100.0,
PORT_CALL_LEG,leg_id,TEXT,Primary key: '<port_call_id>-L<n>'.,0.0,1012919-202501270659-L1
PORT_CALL_LEG,port_call_id,TEXT,Foreign key to port_call.,0.0,1012919-202501270659
PORT_CALL_LEG,leg_seq,NUMBER,1-based sequence of this leg within its call.,0.0,1
PORT_CALL_LEG,leg_count,NUMBER,Legs in the parent call (denormalized for convenience -- same as port_call.leg_count).,0.0,1
PORT_CALL_LEG,vessel_key,NUMBER,Internal MRTIS join key -- NOT a stable identity; see the PORT_CALL.vessel_key note. Do not key a FileMaker file on it.,0.0,2
PORT_CALL_LEG,leg_start,TIMESTAMP,Timestamp of the leg's first event.,0.0,2025-01-27 06:59:00
PORT_CALL_LEG,leg_end,TIMESTAMP,Timestamp of the leg's last event.,0.0,2025-02-12 18:16:00
PORT_CALL_LEG,leg_hours,NUMBER,"leg_end minus leg_start, in hours.",0.0,395.28
PORT_CALL_LEG,activity,TEXT,"'Load' / 'Discharge' / 'No Cargo' / blank (unresolved -- never guessed). Real activity wins first; below that an UNRESOLVED stop outranks 'No Cargo', so a layberth stop elsewhere in the leg cannot overwrite an honest 'we don't know'. Only a leg of nothing but layberth stops reports 'No Cargo'. See docs/BUSINESS_RULES.md section 4.",20.0,Load
PORT_CALL_LEG,activity_method,TEXT,"How activity was decided: 'dictionary' / 'fgis' / 'draft_delta' / 'unresolved', tried in that priority order.",0.0,no_berth_stop
